,dose,unit,rel exp,layers,value
9218,-0.563112038815,4,0.051947824818263266,4,7.8054902652627112
9219,-0.470959999326,4,0.066540796292625284,4,7.7177816510773658
9220,-0.378807959837,4,0.084870898078202653,4,7.5909166009960964
9221,-0.286655920348,4,0.10767556641414501,4,7.4105954761599495
9222,-0.194503880859,4,0.13571119923146355,4,7.1603457289879051
9223,-0.10235184137,4,0.16967739407763341,4,6.8242255255635929
9224,-0.010199801881,4,0.21010722300192855,4,6.3922996973153623
9225,0.081952237608,4,0.25722978378321704,4,5.8684443437880427
9226,0.174104277097,4,0.31082612261378251,4,5.2768455830914451
9227,0.266256316586,4,0.3701161449431723,4,4.6608281329555039
9228,0.358408356075,4,0.43372340257559955,4,4.0708311104671777
9229,0.450560395564,4,0.49975564794226579,4,3.547716381566449
9230,0.542712435053,4,0.56600699623739459,4,3.1124805891241443
9231,0.634864474542,4,0.63024238052018833,4,2.7669351003157541
9232,0.727016514031,4,0.69048996070320257,4,2.5009193711428943
9233,0.81916855352,4,0.74526360402976433,4,2.2997425408869421
9234,0.911320593009,4,0.79366776720605303,4,2.1488896746766382
9235,1.0034726325,4,0.83538234063618255,4,2.0360580714048955
9236,1.09562467199,4,0.87056089019851479,4,1.9515860570784773
9237,1.18777671148,4,0.89968917044389662,4,1.888176034175707
9238,1.27992875096,4,0.92344422734394127,4,1.8404167592970886
9239,1.37208079045,4,0.94257844899619947,4,1.8043226888328476
9240,1.46423282994,4,0.95783729126346573,4,1.7769588342243661
9241,1.55638486943,4,0.96990888829588273,4,1.7561567145691763
9242,1.64853690892,4,0.97939880213474617,4,1.7403063800699681
9243,1.74068894841,4,0.98682215205342827,4,1.7282062188762513
9244,1.8328409879,4,0.99260640330447347,4,1.7189548155963621
9245,1.92499302739,4,0.9970998191174304,4,1.7118728546156088
9246,2.01714506688,4,1.0005822462842564,4,1.7064463772617307
9247,2.10929710637,4,1.0032762217520199,4,1.7022852488950091
9248,2.20144914585,4,1.0053573123994319,4,1.6990925276698075
9249,2.29360118534,4,1.0069631949824043,4,1.6966417115516517
9250,-2.22184874962,5,0.00048213988950419456,4,7.6686226876059616
9251,-2.12969671013,5,0.0006270196682665192,4,7.6685695719772209
9252,-2.03754467064,5,0.00081539975882547345,4,7.6684881647033496
9253,-1.94539263115,5,0.0010603169381773979,4,7.6683634131628651
9254,-1.85324059166,5,0.0013786982877015501,4,7.6681722727037247
9255,-1.76108855217,5,0.0017925105467042038,4,7.6678794801746211
9256,-1.66893651268,5,0.002330241056938122,4,7.6674311092923322
9257,-1.57678447319,5,0.0030288004415385734,4,7.6667447608418655
9258,-1.4846324337,5,0.0039359577994712222,4,7.6656946650741453
9259,-1.39248039422,5,0.0051134417389699822,4,7.6640891271730327
9260,-1.30032835473,5,0.006640862821014777,4,7.6616365208666934
9261,-1.20817631524,5,0.0086206303928341391,4,7.6578942993885617
9262,-1.11602427575,5,0.011184040870910296,4,7.6521931163219854
9263,-1.02387223626,5,0.014498690431649213,4,7.6435250667808203
9264,-0.931720196771,5,0.018777288180175,4,7.6303814337960372
9265,-0.839568157282,5,0.024287777572345678,4,7.6105218964101358
9266,-0.747416117793,5,0.031364357308314168,4,7.5806559661589397
9267,-0.655264078304,5,0.040418451574856823,4,7.5360231965218283
9268,-0.563112038815,5,0.051947824818263266,4,7.4698813246592923
9269,-0.470959999326,5,0.066540796292625284,4,7.3729696481676203
9270,-0.378807959837,5,0.084870898078202653,4,7.2331393080499833
9271,-0.286655920348,5,0.10767556641414501,4,7.0355686847804009
9272,-0.194503880859,5,0.13571119923146355,4,6.7643043906030327
9273,-0.10235184137,5,0.16967739407763341,4,6.4060886895097333
9274,-0.010199801881,5,0.21010722300192855,4,5.9569216350541803
9275,0.081952237608,5,0.25722978378321704,4,5.4296339450115063
9276,0.174104277097,5,0.31082612261378251,4,4.8573289617553934
9277,0.266256316586,5,0.3701161449431723,4,4.2869846714693267
9278,0.358408356075,5,0.43372340257559955,4,3.7641995065323552
9279,0.450560395564,5,0.49975564794226579,4,3.3188219254237969
9280,0.542712435053,5,0.56600699623739459,4,2.9604334344707892
9281,0.634864474542,5,0.63024238052018833,4,2.6832416696951382
9282,0.727016514031,5,0.69048996070320257,4,2.4739816459852788
9283,0.81916855352,5,0.74526360402976433,4,2.3179681911712371
9284,0.911320593009,5,0.79366776720605303,4,2.2021792981323061
9285,1.0034726325,5,0.83538234063618255,4,2.1162153862079909
9286,1.09562467199,5,0.87056089019851479,4,2.0522046945183652
9287,1.18777671148,5,0.89968917044389662,4,2.0043441516096867
9288,1.27992875096,5,0.92344422734394127,4,1.9684019440807949
9289,1.37208079045,5,0.94257844899619947,4,1.9412979417158838
9290,1.46423282994,5,0.95783729126346573,4,1.9207834065748119
9291,1.55638486943,5,0.96990888829588273,4,1.9052074972669191
9292,1.64853690892,5,0.97939880213474617,4,1.8933504710410456
9293,1.74068894841,5,0.98682215205342827,4,1.8843052807664238
9294,1.8328409879,5,0.99260640330447347,4,1.877393386302018
9295,1.92499302739,5,0.9970998191174304,4,1.8721045290059801
9296,2.01714506688,5,1.0005822462842564,4,1.8680532918367017
9297,2.10929710637,5,1.0032762217520199,4,1.864947484105097
9298,2.20144914585,5,1.0053573123994319,4,1.8625649287106987
9299,2.29360118534,5,1.0069631949824043,4,1.8607362801599707
9300,-2.22184874962,6,0.00048213988950419456,4,7.8175178632782432
9301,-2.12969671013,6,0.0006270196682665192,4,7.8174453293989972
9302,-2.03754467064,6,0.00081539975882547345,4,7.8173357400313499
9303,-1.94539263115,6,0.0010603169381773979,4,7.8171701862058907
9304,-1.85324059166,6,0.0013786982877015501,4,7.8169201309347454
9305,-1.76108855217,6,0.0017925105467042038,4,7.8165425272718307
9306,-1.66893651268,6,0.002330241056938122,4,7.8159724808730466
9307,-1.57678447319,6,0.0030288004415385734,4,7.815112241471958
9308,-1.4846324337,6,0.0039359577994712222,4,7.8138147250613335
9309,-1.39248039422,6,0.0051134417389699822,4,7.8118589257103483
9310,-1.30032835473,6,0.006640862821014777,4,7.8089133759271938
9311,-1.20817631524,6,0.0086206303928341391,4,7.804482145007321
9312,-1.11602427575,6,0.011184040870910296,4,7.797825622015166
9313,-1.02387223626,6,0.014498690431649213,4,7.787845482704622
9314,-0.931720196771,6,0.018777288180175,4,7.7729199785950964
9315,-0.839568157282,6,0.024287777572345678,4,7.7506727454076767
9316,-0.747416117793,6,0.031364357308314168,4,7.7176576380210475
9317,-0.655264078304,6,0.040418451574856823,4,7.668948059138601
9318,-0.563112038815,6,0.051947824818263266,4,7.5976410401445538
9319,-0.470959999326,6,0.066540796292625284,4,7.4943415776609328
9320,-0.378807959837,6,0.084870898078202653,4,7.3468110979670387
9321,-0.286655920348,6,0.10767556641414501,4,7.1401817393282636
9322,-0.194503880859,6,0.13571119923146355,4,6.8584534508935846
9323,-0.10235184137,6,0.16967739407763341,4,6.4882184728312975
9324,-0.010199801881,6,0.21010722300192855,4,6.0250897445896712
9325,0.081952237608,6,0.25722978378321704,4,5.4812362405944528
9326,0.174104277097,6,0.31082612261378251,4,4.8890906468938793
9327,0.266256316586,6,0.3701161449431723,4,4.295552981757722
9328,0.358408356075,6,0.43372340257559955,4,3.7472267707628193
9329,0.450560395564,6,0.49975564794226579,4,3.2758481356581246
9330,0.542712435053,6,0.56600699623739459,4,2.8929752844648378
9331,0.634864474542,6,0.63024238052018833,4,2.5941828678698111
9332,0.727016514031,6,0.69048996070320257,4,2.366772069630978
9333,0.81916855352,6,0.74526360402976433,4,2.1960111853913693
9334,0.911320593009,6,0.79366776720605303,4,2.0685006916733495
9335,1.0034726325,6,0.83538234063618255,4,1.9733480829938226
9336,1.09562467199,6,0.87056089019851479,4,1.9021947616925856
9337,1.18777671148,6,0.89968917044389662,4,1.8488098420311576
9338,1.27992875096,6,0.92344422734394127,4,1.8086073029074654
9339,1.37208079045,6,0.94257844899619947,4,1.7782231857450399
9340,1.46423282994,6,0.95783729126346573,4,1.7551854878446813
9341,1.55638486943,6,0.96990888829588273,4,1.737669586056686
9342,1.64853690892,6,0.97939880213474617,4,1.724321278858399
9343,1.74068894841,6,0.98682215205342827,4,1.7141298327792864
9344,1.8328409879,6,0.99260640330447347,4,1.7063368965329877
9345,1.92499302739,6,0.9970998191174304,4,1.7003708361468965
9346,2.01714506688,6,1.0005822462842564,4,1.6957990581153972
9347,2.10929710637,6,1.0032762217520199,4,1.6922931161753703
9348,2.20144914585,6,1.0053573123994319,4,1.6896029717990184
9349,2.29360118534,6,1.0069631949824043,4,1.6875378682820283
9350,-2.22184874962,7,0.00048213988950419456,4,7.0891168368591773
9351,-2.12969671013,7,0.0006270196682665192,4,7.0890622557625793
9352,-2.03754467064,7,0.00081539975882547345,4,7.0889805964064623
9353,-1.94539263115,7,0.0010603169381773979,4,7.0888584408755593
9354,-1.85324059166,7,0.0013786982877015501,4,7.0886757375372964
9355,-1.76108855217,7,0.0017925105467042038,4,7.0884025359012313
9356,-1.66893651268,7,0.002330241056938122,4,7.0879941282958043
9357,-1.57678447319,7,0.0030288004415385734,4,7.087383834410514
9358,-1.4846324337,7,0.0039359577994712222,4,7.0864723114353598
9359,-1.39248039422,7,0.0051134417389699822,4,7.0851117685607772
9360,-1.30032835473,7,0.006640862821014777,4,7.0830827585410869
9361,-1.20817631524,7,0.0086206303928341391,4,7.0800602555094088
9362,-1.11602427575,7,0.011184040870910296,4,7.0755644653150069
9363,-1.02387223626,7,0.014498690431649213,4,7.0688902657675952
9364,-0.931720196771,7,0.018777288180175,4,7.0590074982362792
9365,-0.839568157282,7,0.024287777572345678,4,7.044423011533067
9366,-0.747416117793,7,0.031364357308314168,4,7.0229955257479419
9367,-0.655264078304,7,0.040418451574856823,4,6.9916983622827766
9368,-0.563112038815,7,0.051947824818263266,4,6.9463371774615377
9369,-0.470959999326,7,0.066540796292625284,4,6.8812571254472719
9370,-0.378807959837,7,0.084870898078202653,4,6.7891261004760617
9371,-0.286655920348,7,0.10767556641414501,4,6.6609663728358202
9372,-0.194503880859,7,0.13571119923146355,4,6.4867193731842985
9373,-0.10235184137,7,0.16967739407763341,4,6.2567129394470289
9374,-0.010199801881,7,0.21010722300192855,4,5.9643069512557281
9375,0.081952237608,7,0.25722978378321704,4,5.6094823507590794
9376,0.174104277097,7,0.31082612261378251,4,5.202115783849429
9377,0.266256316586,7,0.3701161449431723,4,4.7627252791616064
9378,0.358408356075,7,0.43372340257559955,4,4.3189475859701414
9379,0.450560395564,7,0.49975564794226579,4,3.8985747837755249
9380,0.542712435053,7,0.56600699623739459,4,3.5226824802546748
9381,0.634864474542,7,0.63024238052018833,4,3.2022671639254234
9382,0.727016514031,7,0.69048996070320257,4,2.9390121493658521
9383,0.81916855352,7,0.74526360402976433,4,2.7283617604061594
9384,0.911320593009,7,0.79366776720605303,4,2.5627808073214973
9385,1.0034726325,7,0.83538234063618255,4,2.4340911984315259
9386,1.09562467199,7,0.87056089019851479,4,2.3347478147147962
9387,1.18777671148,7,0.89968917044389662,4,2.2583466795373885
9388,1.27992875096,7,0.92344422734394127,4,2.1997005501054407
9389,1.37208079045,7,0.94257844899619947,4,2.1547185620984526
9390,1.46423282994,7,0.95783729126346573,4,2.1202228413644413
9391,1.55638486943,7,0.96990888829588273,4,2.0937649223220798
9392,1.64853690892,7,0.97939880213474617,4,2.0734661413452531
9393,1.74068894841,7,0.98682215205342827,4,2.057887649131839
9394,1.8328409879,7,0.99260640330447347,4,2.0459280261441295
9395,1.92499302739,7,0.9970998191174304,4,2.0367440326746666
9396,2.01714506688,7,1.0005822462842564,4,2.0296898017390994
9397,2.10929710637,7,1.0032762217520199,4,2.0242703682395287
9398,2.20144914585,7,1.0053573123994319,4,2.0201062027747922
9399,2.29360118534,7,1.0069631949824043,4,2.0169061439300489
9400,-2.22184874962,8,0.00048213988950419456,4,9.3422130222159385
9401,-2.12969671013,8,0.0006270196682665192,4,9.3421456882982028
9402,-2.03754467064,8,0.00081539975882547345,4,9.342044261217584
9403,-1.94539263115,8,0.0010603169381773979,4,9.3418914972766984
9404,-1.85324059166,8,0.0013786982877015501,4,9.3416614489101768
9405,-1.76108855217,8,0.0017925105467042038,4,9.341315087993193
9406,-1.66893651268,8,0.002330241056938122,4,9.3407937439168762
9407,-1.57678447319,8,0.0030288004415385734,4,9.3400092797935486
9408,-1.4846324337,8,0.0039359577994712222,4,9.338829412939452
9409,-1.39248039422,8,0.0051134417389699822,4,9.3370558320952952
9410,-1.30032835473,8,0.006640862821014777,4,9.3343916763758408
9411,-1.20817631524,8,0.0086206303928341391,4,9.3303933922125672
9412,-1.11602427575,8,0.011184040870910296,4,9.3243998174389642
9413,-1.02387223626,8,0.014498690431649213,4,9.3154283834287561
9414,-0.931720196771,8,0.018777288180175,4,9.3020244361328199
9415,-0.839568157282,8,0.024287777572345678,4,9.2820448762306373
9416,-0.747416117793,8,0.031364357308314168,4,9.2523521263363087
9417,-0.655264078304,8,0.040418451574856823,4,9.2083907247301671
9418,-0.563112038815,8,0.051947824818263266,4,9.1436220139211688
9419,-0.470959999326,8,0.066540796292625284,4,9.0488164823517607
9420,-0.378807959837,8,0.084870898078202653,4,8.9112815838418289
9421,-0.286655920348,8,0.10767556641414501,4,8.7143027177277457
9422,-0.194503880859,8,0.13571119923146355,4,8.4374931887384115
9423,-0.10235184137,8,0.16967739407763341,4,8.0593910340388408
9424,-0.010199801881,8,0.21010722300192855,4,7.5640104006939382
9425,0.081952237608,8,0.25722978378321704,4,6.9516138249476835
9426,0.174104277097,8,0.31082612261378251,4,6.24913308983606
9427,0.266256316586,8,0.3701161449431723,4,5.5104332637371911
9428,0.358408356075,8,0.43372340257559955,4,4.8004574864993046
9429,0.450560395564,8,0.49975564794226579,4,4.1719550039878373
9430,0.542712435053,8,0.56600699623739459,4,3.6513838550118836
9431,0.634864474542,8,0.63024238052018833,4,3.2403304497707128
9432,0.727016514031,8,0.69048996070320257,4,2.9254929100532037
9433,0.81916855352,8,0.74526360402976433,4,2.6883889323410504
9434,0.911320593009,8,0.79366776720605303,4,2.5111602603632566
9435,1.0034726325,8,0.83538234063618255,4,2.378905017837591
9436,1.09562467199,8,0.87056089019851479,4,2.2800510693702769
9437,1.18777671148,8,0.89968917044389662,4,2.2059277575701102
9438,1.27992875096,8,0.92344422734394127,4,2.1501421265411702
9439,1.37208079045,8,0.94257844899619947,4,2.1080042655562874
9440,1.46423282994,8,0.95783729126346573,4,2.0760700192177395
9441,1.55638486943,8,0.96990888829588273,4,2.0517995787902676
9442,1.64853690892,8,0.97939880213474617,4,2.0333098014179272
9443,1.74068894841,8,0.98682215205342827,4,2.0191964609811608
9444,1.8328409879,8,0.99260640330447347,4,2.0084068189338904
9445,1.92499302739,8,0.9970998191174304,4,2.0001478764305327
9446,2.01714506688,8,1.0005822462842564,4,1.9938198543546535
9447,2.10929710637,8,1.0032762217520199,4,1.988967577001685
9448,2.20144914585,8,1.0053573123994319,4,1.9852446548633871
9449,2.29360118534,8,1.0069631949824043,4,1.9823868997163376
9450,-2.22184874962,9,0.00048213988950419456,4,6.4523142879621727
9451,-2.12969671013,9,0.0006270196682665192,4,6.4522207480936675
