,time,unit,layers,value
6597,198.0,32,4,5.31303132052
6598,199.0,32,4,5.31303300078
6599,200.0,32,4,5.31303402478
6600,1.0,33,4,0.375011099139
6601,2.0,33,4,0.714484956176
6602,3.0,33,4,1.02178911692
6603,4.0,33,4,1.29997198657
6604,5.0,33,4,1.55179318907
6605,6.0,33,4,1.77975096295
6606,7.0,33,4,1.9861067386
6607,8.0,33,4,2.17290727694
6608,9.0,33,4,2.34200613212
6609,10.0,33,4,2.49508053101
6610,11.0,33,4,2.63364908424
6611,12.0,33,4,2.75908675759
6612,13.0,33,4,2.87263751847
6613,14.0,33,4,2.97542738229
6614,15.0,33,4,3.06847668363
6615,16.0,33,4,3.15270818189
6616,17.0,33,4,3.22895789943
6617,18.0,33,4,3.29798173326
6618,19.0,33,4,3.36046489036
6619,20.0,33,4,3.41702668786
6620,21.0,33,4,3.46822878022
6621,22.0,33,4,3.51457859045
6622,23.0,33,4,3.55653635766
6623,24.0,33,4,3.5945178982
6624,25.0,33,4,3.62890034761
6625,26.0,33,4,3.6600244878
6626,27.0,33,4,3.68819923233
6627,28.0,33,4,3.71370362876
6628,29.0,33,4,3.73679080594
6629,30.0,33,4,3.75769040107
6630,31.0,33,4,3.77661002016
6631,32.0,33,4,3.793736893
6632,33.0,33,4,3.80924068214
6633,34.0,33,4,3.82327520517
6634,35.0,33,4,3.83597949712
6635,36.0,33,4,3.84747968121
6636,37.0,33,4,3.85789059998
6637,38.0,33,4,3.8673150342
6638,39.0,33,4,3.8758462785
6639,40.0,33,4,3.88356929846
6640,41.0,33,4,3.89056022035
6641,42.0,33,4,3.89688843948
6642,43.0,33,4,3.90261731798
6643,44.0,33,4,3.90780313797
6644,45.0,33,4,3.91249741295
6645,46.0,33,4,3.91674721724
6646,47.0,33,4,3.92059420916
6647,48.0,33,4,3.92407655742
6648,49.0,33,4,3.92722908401
6649,50.0,33,4,3.93008272601
6650,51.0,33,4,3.93266587114
6651,52.0,33,4,3.93500439949
6652,53.0,33,4,3.93712122724
6653,54.0,33,4,3.93903742307
6654,55.0,33,4,3.94077214404
6655,56.0,33,4,3.94234227843
6656,57.0,33,4,3.94376331903
6657,58.0,33,4,3.94504940111
