,sample,layer,time-to-half-max (min)
583,19,14,2335.0
584,19,15,2487.5
585,19,16,2672.5
586,19,17,2845.0
587,19,18,3035.0
588,19,19,3212.5
589,19,20,3395.0
590,19,21,3582.5
591,19,22,3772.5
592,19,23,3960.0
593,19,24,4147.5
594,19,25,4337.5
595,19,26,4525.0
596,19,27,4715.0
597,19,28,4905.0
598,19,29,5092.5
599,19,30,5287.5
600,20,1,295.0
601,20,2,660.0
602,20,3,692.5
603,20,4,1070.0
604,20,5,1165.0
605,20,6,1467.5
606,20,7,1540.0
607,20,8,1792.5
608,20,9,1877.5
609,20,10,2152.5
610,20,11,2192.5
611,20,12,2580.0
612,20,13,2705.0
613,20,14,3120.0
614,20,15,3345.0
615,20,16,3607.5
616,20,17,3767.5
617,20,18,3990.0
618,20,19,4135.0
619,20,20,4342.5
620,20,21,4495.0
621,20,22,4697.5
622,20,23,4855.0
623,20,24,5042.5
624,20,25,5217.5
625,20,26,5402.5
626,20,27,5590.0
627,20,28,5782.5
628,20,29,5972.5
629,20,30,6165.0
630,21,1,305.0
631,21,2,585.0
632,21,3,577.5
633,21,4,797.5
634,21,5,892.5
635,21,6,1137.5
636,21,7,1195.0
637,21,8,1482.5
638,21,9,1452.5
639,21,10,1557.5
640,21,11,1737.5
641,21,12,1925.0
642,21,13,2115.0
643,21,14,2307.5
644,21,15,2497.5
645,21,16,2692.5
646,21,17,2880.0
647,21,18,3075.0
648,21,19,3265.0
649,21,20,3460.0
650,21,21,3650.0
651,21,22,3845.0
652,21,23,4032.5
653,21,24,4227.5
654,21,25,4415.0
655,21,26,4605.0
656,21,27,4795.0
657,21,28,4987.5
658,21,29,5177.5
659,21,30,5372.5
660,22,1,297.5
661,22,2,610.0
662,22,3,782.5
663,22,4,1125.0
664,22,5,1392.5
665,22,6,1582.5
666,22,7,1772.5
667,22,8,1962.5
668,22,9,2152.5
669,22,10,2345.0
670,22,11,2535.0
671,22,12,2725.0
672,22,13,2917.5
673,22,14,3107.5
674,22,15,3297.5
675,22,16,3490.0
676,22,17,3680.0
677,22,18,3872.5
678,22,19,4062.5
679,22,20,4257.5
680,22,21,4440.0
681,22,22,4650.0
682,22,23,4925.0
683,22,24,9862.5
684,22,25,2737.5
685,22,26,6922.5
686,22,27,7465.0
687,22,28,4602.5
688,22,29,2655.0
689,22,30,2267.5
690,23,1,295.0
691,23,2,667.5
692,23,3,830.0
693,23,4,1202.5
694,23,5,1457.5
695,23,6,1680.0
696,23,7,1882.5
697,23,8,2077.5
698,23,9,2260.0
699,23,10,2457.5
700,23,11,2642.5
701,23,12,2845.0
702,23,13,3037.5
703,23,14,3232.5
704,23,15,3420.0
705,23,16,3617.5
706,23,17,3810.0
707,23,18,4000.0
708,23,19,4192.5
709,23,20,4382.5
710,23,21,4575.0
711,23,22,4765.0
712,23,23,4957.5
713,23,24,5147.5
714,23,25,5347.5
715,23,26,5527.5
716,23,27,5802.5
717,23,28,5712.5
718,23,29,3360.0
719,23,30,5792.5
720,24,1,300.0
721,24,2,597.5
722,24,3,607.5
723,24,4,932.5
724,24,5,820.0
725,24,6,922.5
726,24,7,1082.5
727,24,8,1265.0
728,24,9,1447.5
729,24,10,1647.5
730,24,11,1832.5
731,24,12,2035.0
732,24,13,2215.0
733,24,14,2425.0
734,24,15,2622.5
735,24,16,2817.5
736,24,17,3010.0
737,24,18,3202.5
738,24,19,3395.0
739,24,20,3587.5
740,24,21,3780.0
741,24,22,3970.0
742,24,23,4162.5
743,24,24,4352.5
744,24,25,4545.0
745,24,26,4750.0
746,24,27,4890.0
747,24,28,8067.5
748,24,29,5837.5
749,24,30,11427.5
750,25,1,245.0
751,25,2,612.5
752,25,3,545.0
753,25,4,850.0
754,25,5,787.5
755,25,6,982.5
756,25,7,1057.5
757,25,8,1297.5
758,25,9,1402.5
759,25,10,1710.0
760,25,11,1900.0
761,25,12,2160.0
762,25,13,2340.0
763,25,14,2570.0
764,25,15,2745.0
765,25,16,2985.0
766,25,17,3190.0
767,25,18,3395.0
768,25,19,3590.0
769,25,20,3785.0
770,25,21,3972.5
771,25,22,4167.5
772,25,23,4352.5
773,25,24,4550.0
774,25,25,4732.5
775,25,26,4930.0
776,25,27,5117.5
777,25,28,5315.0
778,25,29,5497.5
779,25,30,5687.5
780,26,1,340.0
781,26,2,640.0
782,26,3,775.0
783,26,4,1047.5
784,26,5,1060.0
785,26,6,1237.5
786,26,7,1332.5
787,26,8,1477.5
788,26,9,1667.5
789,26,10,1860.0
790,26,11,2052.5
791,26,12,2245.0
792,26,13,2437.5
793,26,14,2630.0
794,26,15,2822.5
795,26,16,3015.0
796,26,17,3207.5
797,26,18,3400.0
798,26,19,3592.5
799,26,20,3785.0
800,26,21,3975.0
801,26,22,4170.0
802,26,23,4360.0
803,26,24,4552.5
804,26,25,4740.0
805,26,26,4947.5
806,26,27,5292.5
807,26,28,5067.5
808,26,29,4392.5
809,26,30,8980.0
810,27,1,292.5
811,27,2,587.5
812,27,3,592.5
813,27,4,830.0
814,27,5,832.5
815,27,6,952.5
816,27,7,1125.0
817,27,8,1310.0
818,27,9,1495.0
819,27,10,1687.5
820,27,11,1875.0
821,27,12,2062.5
822,27,13,2255.0
823,27,14,2445.0
824,27,15,2637.5
825,27,16,2830.0
826,27,17,3020.0
827,27,18,3212.5
828,27,19,3405.0
829,27,20,3595.0
830,27,21,3785.0
831,27,22,3977.5
832,27,23,4177.5
833,27,24,4340.0
834,27,25,4842.5
835,27,26,11157.5
836,27,27,2985.0
837,27,28,2115.0
838,27,29,1697.5
839,27,30,2110.0
840,28,1,267.5
841,28,2,575.0
842,28,3,700.0
843,28,4,1115.0
844,28,5,1307.5
845,28,6,1582.5
846,28,7,1725.0
847,28,8,2047.5
848,28,9,2282.5
849,28,10,2500.0
850,28,11,2702.5
851,28,12,2895.0
852,28,13,3085.0
853,28,14,3277.5
854,28,15,3470.0
855,28,16,3662.5
856,28,17,3852.5
857,28,18,4045.0
858,28,19,4237.5
859,28,20,4430.0
860,28,21,4620.0
861,28,22,4815.0
862,28,23,5007.5
863,28,24,5200.0
864,28,25,5397.5
865,28,26,5567.5
866,28,27,5822.5
