,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
1082.5,6279.48962809,2445.70462698,8617.41386023,6203.74836804,5039.44645
1085.0,6280.3895663,2441.2375861,8633.91596424,6186.11329841,5053.97938949
1087.5,6281.28074647,2436.81006462,8650.34762368,6168.56077094,5068.53666745
1090.0,6282.16325425,2432.42172883,8666.70883992,6151.09069541,5083.11788228
1092.5,6283.03717458,2428.07225235,8682.99961898,6133.70298941,5097.72263103
1095.0,6283.90259162,2423.76131678,8699.21997154,6116.39757942,5112.3505095
1097.5,6284.75958887,2419.48861232,8715.36991292,6099.17440193,5127.00111215
1100.0,6285.60824909,2415.25382474,8731.44946309,6082.03333103,5141.67403218
1102.5,6286.44865436,2411.05658133,8747.45864669,6064.97406987,5156.36886145
1105.0,6287.2808861,2406.89654661,8763.39748231,6047.99643725,5171.08519056
1107.5,6288.10502504,2402.77339253,8779.26598217,6031.10024758,5185.82260878
1110.0,6288.92115128,2398.68679087,8795.06417892,6014.28530142,5200.58070485
1112.5,6289.72934428,2394.63641265,8810.79210984,5997.55138457,5215.35908247
1115.0,6290.52968286,2390.62192756,8826.44981652,5980.89826708,5230.15733834
1117.5,6291.32224524,2386.6430033,8842.0373449,5964.32570238,5244.97506248
1120.0,6292.10710904,2382.69930491,8857.55474521,5947.83352528,5259.81184406
1122.5,6292.88435128,2378.79052296,8873.002072,5931.42170122,5274.66727135
1125.0,6293.65404843,2374.91638367,8888.37938413,5915.09007784,5289.54093172
1127.5,6294.41627399,2371.07658387,8903.68674481,5898.83850677,5304.43241168
1130.0,6295.17108493,2367.27082387,8918.92422152,5882.66684748,5319.34129684
1132.5,6295.91854985,2363.49880833,8934.09188609,5866.57496842,5334.26717191
1135.0,6296.65874002,2359.76024656,8949.18981467,5850.56274797,5349.20962073
1137.5,6297.39172606,2356.05485291,8964.21808769,5834.63007563,5364.16822626
1140.0,6298.11757792,2352.38234714,8979.17678995,5818.77672314,5379.14257055
1142.5,6298.83636492,2348.74245416,8994.06601051,5803.00237023,5394.13224233
1145.0,6299.54815573,2345.13487535,9008.88584279,5787.30679599,5409.13686077
1147.5,6300.25301841,2341.55931589,9023.63638271,5771.6897676,5424.15602051
1150.0,6300.95102039,2338.01549438,9038.3176712,5756.15103927,5439.18931222
1152.5,6301.64222852,2334.50313122,9052.92977344,5740.69035129,5454.23632649
1155.0,6302.32670902,2331.02194844,9067.47278409,5725.30742912,5469.29665387
1157.5,6303.00452756,2327.57166955,9081.94680132,5710.00198315,5484.36988483
1160.0,6303.67574919,2324.15201936,9096.35192677,5694.77386769,5499.45560978
1162.5,6304.34043844,2320.76272377,9110.68826558,5679.62297207,5514.55341907
1165.0,6304.99865925,2317.40351205,9124.95592638,5664.54910391,5529.66290299
1167.5,6305.65047502,2314.07413106,9139.15502127,5649.55207859,5544.78365176
1170.0,6306.29594862,2310.77432269,9153.28566587,5634.63172029,5559.91525553
1172.5,6306.93514238,2307.50382945,9167.34797927,5619.787863,5575.0573044
1175.0,6307.56811811,2304.26239684,9181.34208406,5605.02035161,5590.20938666
1177.5,6308.19493712,2301.04977347,9195.26810631,5590.32903851,5605.371089
1180.0,6308.81566023,2297.86571116,9209.12617558,5575.71360932,5620.5420002
1182.5,6309.43034773,2294.70996506,9222.91642493,5561.17375668,5635.72170893
1185.0,6310.03905947,2291.5822937,9236.6389909,5546.70923036,5650.90980375
1187.5,6310.64185481,2288.48245156,9250.29401352,5532.31976959,5666.10587303
1190.0,6311.23879265,2285.41018186,9263.88163633,5518.00510219,5681.30950503
1192.5,6311.82993144,2282.36523994,9277.40199287,5503.76494375,5696.52028787
1195.0,6312.4153292,2279.3473824,9290.85516368,5489.5989967,5711.73780952
1197.5,6312.99504349,2276.35636647,9304.24127989,5475.50695931,5726.96165781
1200.0,6313.56913146,2273.39194979,9317.56048321,5461.48868271,5742.19142043
1202.5,6314.13764985,2270.45389009,9330.812918,5447.54397674,5757.42668492
1205.0,6314.70065052,2267.54194502,9343.99873132,5433.67261303,5772.66704007
1207.5,6315.25817404,2264.65587201,9357.11807293,5419.87436878,5787.91212203
1210.0,6315.81027251,2261.7954521,9370.17109528,5406.1490275,5803.16155483
1212.5,6316.35699855,2258.96047222,9383.15795349,5392.4963798,5818.41494343
1215.0,6316.89840427,2256.15071055,9396.07880537,5378.91622413,5833.67189395
1217.5,6317.4345413,2253.36594886,9408.93381144,5365.40835291,5848.93201357
1220.0,6317.96546078,2250.6059728,9421.72313488,5351.97243335,5864.19491061
1222.5,6318.49121341,2247.87057223,9434.44694159,5338.60818213,5879.4601945
1225.0,6319.01184937,2245.15954146,9447.10540012,5325.31533374,5894.72747576
1227.5,6319.52741842,2242.47267965,9459.69868173,5312.09361636,5909.99636604
1230.0,6320.03796986,2239.80978709,9472.22696038,5298.94275139,5925.26647809
1232.5,6320.54355253,2237.17063018,9484.6904127,5285.86245293,5940.53742577
1235.0,6321.04421484,2234.55499098,9497.089218,5272.85242731,5955.80882406
1237.5,6321.54000477,2231.96265877,9509.42352682,5259.9123931,5971.0802836
1240.0,6322.03096986,2229.39342264,9521.69347279,5247.04217286,5986.35138705
1242.5,6322.51715727,2226.84707107,9533.89922994,5234.24153449,6001.6217381
1245.0,6322.9986137,2224.32339164,9546.04097454,5221.51023738,6016.89094535
1247.5,6323.47538548,2221.82217056,9558.1188849,5208.84804601,6032.15861775
1250.0,6323.94751852,2219.34319227,9570.13314128,5196.25473054,6047.42436465
1252.5,6324.41505837,2216.88625425,9582.08392598,5183.73006742,6062.68779573
1255.0,6324.87805015,2214.45119202,9593.97142328,5171.27383989,6077.94852108
1257.5,6325.33653866,2212.03781753,9605.79581946,5158.88580608,6093.20615114
1260.0,6325.79056828,2209.64594463,9617.55730281,5146.56562044,6108.46029676
1262.5,6326.24018305,2207.27539147,9629.25606363,5134.31300148,6123.71056911
1265.0,6326.68542666,2204.92598094,9640.89229419,5122.12766954,6138.95657978
1267.5,6327.12634244,2202.59754105,9652.46618879,5110.00933829,6154.19794071
1270.0,6327.56297339,2200.28990544,9663.97794371,5097.95771417,6169.43429697
1272.5,6327.99536216,2198.00291382,9675.42775724,5085.97249584,6184.66533508
1275.0,6328.42355109,2195.73637322,9686.81582968,5074.0533736,6199.89069282
1277.5,6328.84758217,2193.49007651,9698.14236331,5062.20007582,6215.11000873
1280.0,6329.26749711,2191.26384171,9709.40756006,5050.41242162,6230.32292337
1282.5,6329.68333226,2189.05748566,9720.61157846,5038.69016107,6245.52907935
1285.0,6330.09512034,2186.87082346,9731.75459948,5027.03304567,6260.72812133
1287.5,6330.5029005,2184.70366802,9742.83682159,5015.44083272,6275.91969601
1290.0,6330.90671163,2182.55582943,9753.85844464,5003.91328586,6291.10345213
1292.5,6331.30659224,2180.42711441,9764.81966988,4992.45017573,6306.27904049
