,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
1015.0,6251.54624064,2582.60197826,8145.35168441,6711.45386732,4657.68885524
1017.5,6252.71798841,2576.92565889,8163.73947811,6691.55634314,4671.41757265
1020.0,6253.87833811,2571.2994197,8182.05854226,6671.74345728,4685.18096499
1022.5,6255.02740108,2565.72282092,8200.30874262,6652.01509679,4698.97867089
1025.0,6256.16528769,2560.19542419,8218.48995069,6632.37117954,4712.81032706
1027.5,6257.29210731,2554.71679211,8236.60204371,6612.8116677,4726.67556838
1030.0,6258.40796836,2549.2864879,8254.64490465,6593.33650739,4740.57402783
1032.5,6259.5129783,2543.90407494,8272.61842481,6573.94562781,4754.50533651
1035.0,6260.60724366,2538.56912778,8290.52251397,6554.63894023,4768.46912364
1037.5,6261.69087005,2533.28126234,8308.35707916,6535.41633718,4782.46501657
1040.0,6262.76396218,2528.04007452,8326.12203178,6516.27771091,4796.49264078
1042.5,6263.82662388,2522.84516258,8343.81728942,6497.22314796,4810.55161986
1045.0,6264.87895808,2517.6961306,8361.44277581,6478.25265922,4824.64157551
1047.5,6265.9210669,2512.59258883,8378.99842083,6459.3662172,4838.76212858
1050.0,6266.95305109,2507.53415406,8396.48416054,6440.56379979,4852.91290122
1052.5,6267.97499832,2502.52045009,8413.89993713,6421.84539134,4867.09351108
1055.0,6268.98700086,2497.55110811,8431.24569896,6403.21098381,4881.30357368
1057.5,6269.98915514,2492.62573611,8448.52140055,6384.66057781,4895.54270275
1060.0,6270.98155669,2487.74392184,8465.72699483,6366.19415019,4909.81051024
1062.5,6271.96430014,2482.90528172,8482.86239419,6347.81147295,4924.10660631
1065.0,6272.93747926,2478.10943282,8499.92754594,6329.51240976,4938.43059933
1067.5,6273.90118692,2473.35599234,8516.92240959,6311.29683906,4952.78209588
1070.0,6274.85551516,2468.64457706,8533.84694932,6293.16462444,4967.16070075
1072.5,6275.80055518,2463.97480284,8550.70113393,6275.11561366,4981.56601695
1075.0,6276.73639733,2459.346284,8567.48493688,6257.14963776,4995.9976457
1077.5,6277.66313117,2454.7586352,8584.1983363,6239.26651014,5010.45518641
1080.0,6278.58084544,2450.21152777,8600.84131494,6221.4660768,5024.93824931
