,n,metric
161,2.11491491491,-0.000836020422632
162,2.12432432432,-0.000631900864166
163,2.13373373373,-0.00043924965428
164,2.14314314314,-0.000257486299662
165,2.15255255255,-8.60621910777e-05
166,2.16196196196,7.55414928411e-05
167,2.17137137137,0.000227815719084
168,2.18078078078,0.000371225384174
169,2.19019019019,0.000506210960791
170,2.1995995996,0.000633190018535
171,2.20900900901,0.000752558629385
172,2.21841841842,0.000864692667609
173,2.22782782783,0.000969949013075
174,2.23723723724,0.00106866666618
175,2.24664664665,0.00116116778192
176,2.25605605606,0.00124775862993
177,2.26546546547,0.00132873048681
178,2.27487487487,0.00140436046636
179,2.28428428428,0.00147491229303
180,2.29369369369,0.00154063702313
181,2.3031031031,0.00160177371826
182,2.31251251251,0.00165855007476
183,2.32192192192,0.00171118301273
