,a,a,a,a,k,k,k,k,b,u,n,ss,ss,ss,ss,ss,ss_0,ss_0,ss_0,ss_0,ss_0,ttss,ttss,ttss,ttss,ttss,dr,dr,dr,dr,dr,dr_diff,dr_diff,dr_diff,dr_diff,dr_diff
,0,1,2,3,0,1,2,3,0,0,0,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.08853133467,0.435864391855,0.544675209268,0.424745614617,0.750745399674,0.5848195468,0.548693621031,0.337650210207,0.0958303338341,0.381938019295,1.60732442385,7.24130385199,0.84126039899,3.5129607836,1.07674147015,3.98556494603,1.92890226014,3.2081279167,0.811136632933,4.43226687859,0.0,176.0,38.0,18.0,65.0,18.0,0.725290898161,0.374173949549,0.431657079371,0.525760531695,0.600489890488,0.725290898161,0.374173949549,0.431657079371,0.525760531695,0.600489890488
21,1.04521502022,0.323994542589,0.628415212942,0.655199752994,0.693068261623,0.477788018155,0.475267634942,0.416519481449,0.0967510049889,0.383306745087,1.62000243038,7.78093909918,0.69946035405,3.5893677149,1.38926340863,3.96178566963,2.29250524045,2.81788105697,0.563002524818,6.77202012598,0.0,182.0,44.0,10.0,66.0,1.0,0.739448434878,0.326012212057,0.480921332963,0.731004751597,0.597890976751,0.739448434878,0.326012212057,0.480921332963,0.731004751597,0.597890976751
22,1.09286078191,0.444426278686,0.440670609604,0.405690571612,1.05682546276,0.485336043973,0.377812915926,0.62928147425,0.096048225965,0.297641611268,1.60716584274,5.58709931891,0.988002416745,3.52914163945,0.86639321108,3.09887671821,1.45076560875,3.19715387193,0.950436046024,4.22382160146,0.0,196.0,38.0,29.0,61.0,20.0,0.616615569407,0.344225491288,0.411401762282,0.526006758497,0.491204299161,0.616615569407,0.344225491288,0.411401762282,0.526006758497,0.491204299161
23,1.07944584888,0.40399216377,0.412697097111,0.395398957498,1.02506787451,0.599661862382,0.433466357269,0.526736903752,0.098124337629,0.367143713682,1.6047920345,6.35519513509,0.810026638427,3.30443967125,0.749326846276,3.74161724353,1.69364795685,2.84717762612,0.831590821281,4.02957071663,0.0,184.0,34.0,20.0,60.0,22.0,0.668530083955,0.309023218835,0.393197571424,0.515906132617,0.573059358384,0.668530083955,0.309023218835,0.393197571424,0.515906132617,0.573059358384
24,1.06909522638,0.405771727103,0.584843889995,0.381658248585,0.800446255749,0.59734991347,0.264349770175,0.575925487891,0.0959727176233,0.371512652714,1.57174083503,9.03465345272,0.456007343513,5.32330662438,0.681688101304,3.87102357748,4.02733817947,1.65442341017,1.8384776702,3.97673691062,0.0,182.0,192.0,27.0,200.0,1.0,0.699604936541,0.0786076227954,0.542181466487,0.517861852149,0.587825816511,0.699604936541,0.0786076227954,0.542181466487,0.517861852149,0.587825816511
25,1.07303125017,0.521208744395,0.422228098778,0.510683620573,0.869059750071,0.361648338024,0.512924173106,0.615881405909,0.0984622653585,0.372827426082,1.62260543472,3.79998597306,1.60248243937,3.1299641162,0.817744524618,3.78650059212,0.924749324914,4.72145016786,0.509682026673,5.18659223118,0.0,10.0,23.0,25.0,31.0,50.0,0.458673595374,0.494010881199,0.418348048316,0.640366905924,0.578238029075,0.458673595374,0.494010881199,0.418348048316,0.640366905924,0.578238029075
26,1.06563899367,0.407999687917,0.517778353365,0.592745082244,0.958881943228,0.6275938212,0.502691169661,0.460045963211,0.0990985811886,0.357878503145,1.61759930137,6.04623961574,0.879131261087,2.98615548142,1.28029979663,3.61133831436,1.36354385693,3.38310862403,0.518591564813,5.98136799876,0.0,190.0,31.0,17.0,48.0,32.0,0.670495941988,0.398630398343,0.392268410894,0.672196551889,0.557668175543,0.670495941988,0.398630398343,0.392268410894,0.672196551889,0.557668175543
27,1.07001464343,0.38373770347,0.560864317748,0.6321298804,1.0258640904,0.430367169946,0.388917642011,0.43117049168,0.0988589708841,0.459792661604,1.50455476538,5.62455904579,0.933090826208,3.76257785916,1.19402725438,4.65099583267,1.69941050197,3.00438033267,0.772749306272,6.39425916279,0.0,16.0,29.0,20.0,42.0,35.0,0.593856096888,0.316240804965,0.475646285091,0.716022711769,0.66754595038,0.593856096888,0.316240804965,0.475646285091,0.716022711769,0.66754595038
28,1.07767320336,0.370444973297,0.638721331944,0.448259068842,1.12440008176,0.4468426618,0.42473787898,0.420337055357,0.0958058540119,0.38741222548,1.57949754356,7.35228626734,0.621101429903,4.743988076,0.97081058196,4.04372185265,1.94799520528,2.49800731939,1.13776134592,4.67882754624,0.0,169.0,37.0,28.0,66.0,17.0,0.732738731031,0.273442497075,0.557053028135,0.569141712386,0.606781275007,0.732738731031,0.273442497075,0.557053028135,0.569141712386,0.606781275007
29,1.06666686442,0.442959850337,0.39842625947,0.359987861802,0.835838556714,0.555953545366,0.482889899831,0.487053107483,0.0969914326718,0.38915301616,1.61525679308,6.21256914861,0.950633295117,3.28914054131,0.663473444417,4.01224113759,1.6595780905,3.25606919952,0.818902316678,3.71154288462,0.0,41.0,32.0,19.0,57.0,27.0,0.658296797373,0.362753052493,0.392738837734,0.484024856747,0.603387026437,0.658296797373,0.362753052493,0.392738837734,0.484024856747,0.603387026437
