treatment (Be uM),Strain 6059,Strain 6325,Strain 6326,Strain 6327
5.72854246421,3559.1450732953772,7284.3957866302926,5182.0469263288132,7170.4244947472416
6.58958823048,3321.0836113999881,7697.1444369860383,4902.5401885538558,7576.6129744670752
7.58005606462,3122.0605344231353,8077.3783026946503,4669.302523631226,7941.2062742010476
8.71939913894,2955.8070900632019,8422.3977417289443,4475.4460071006997,8263.0297850128536
10.0299945932,2816.9651380634696,8731.4486022144756,4314.665069323426,8543.4481127410854
11.5375830302,2701.0046880853829,9005.2839444462479,4181.4269835161394,8785.4036727041657
13.2717740715,2604.12366424629,9245.7198578085681,4071.0069963543847,8992.6507692485629
15.2666279015,2523.1457334096035,9455.2422638686603,3979.4396526273117,9169.2154863233191
17.561324223,2455.4246510235566,9636.6902560769504,3903.4325177855953,9319.0522932912081
20.2009317613,2398.7589590231087,9793.0198167071248,3840.2692576928011,9445.8487893938
23.2372934321,2351.3181653273596,9927.1395652940646,3787.7162347745802,9552.9316772590355
26.7300445558,2311.5800710713429,10041.80511970282,3743.939014815056,9643.2367198608918
30.7477841188,2278.2782100091003,10139.557965988088,3707.4308290161175,9719.3161478944803
35.369422084,2250.3581049035752,10222.696280948026,3676.9528057476391,9783.3659527027103
40.6857292129,2226.9410262401193,10293.267528927445,3651.4847845532222,9837.262095040689
46.8011198389,2207.2940374661248,10353.0750831561,3630.1851903606298,9882.5991480237644
53.835702605,2190.8052581186084,10403.693243212861,3612.3584465881117,9920.7277858810594
61.9276394444,2176.9634336119693,10446.486720318393,3597.4285557499293,9952.7893160692256
71.2358591341,2165.3410491071249,10482.631951007856,3584.9176763957062,9979.7465105636074
81.943178718,2155.5803566103455,10513.138538420599,3574.4287269051988,10002.410590880161
94.2598941042,2147.3817969736556,10538.869782671476,3565.6312283370689,10021.464539206281
108.427910359,2140.494392464926,10560.561715997486,3558.24975302752,10037.483059305068
124.725492814,2134.7077630267004,10578.840361322436,3552.0544727481215,10050.949566718433
143.472732309,2129.8454826434463,10594.237128617962,3546.8534027728497,10062.270591371846
165.037831896,2125.759543745678,10607.202384824566,3542.4860199657637,10071.787952545556
189.844338493,2122.3257394169445,10618.117303952071,3538.817997780925,10079.789031092394
218.379461507,2119.4398071498204,10627.304141211547,3535.7368522514334,10086.515425004334
251.203641819,2117.0142055271913,10635.03509043423,3533.1483334797467,10092.17023635507
288.961559057,2114.9754177148366,10641.539885712506,3530.9734291348741,10096.924202429354
332.394793356,2113.2616940331955,10647.012301641251,3529.1458718477129,10100.920852378076
382.356390279,2111.8211609264326,10651.615695399607,3527.6100626119642,10104.280843204284
439.82761496,2110.6102360023724,10655.487720581659,3526.3193384645583,10107.105605123106
505.937224536,2109.5922989867609,10658.74432867925,3525.2345257045436,10109.48040601506
581.983637372,2108.7365768271347,10661.483160374635,3524.3227303856265,10111.476927413793
669.460434503,2108.0172081225492,10663.786415854342,3523.5563263071226,10113.155429838504
770.085694141,2107.4124578082215,10665.723281492756,3522.9121076358856,10114.566572925864
885.835735403,2106.9040578017753,10667.351979589044,3522.3705789355095,10115.75294540118
1018.98393398,2106.4766532918406,10668.721498388462,3521.9153600056666,10116.750351159581
1172.14537212,2106.1173376607749,10669.873051328037,3521.5326867406638,10117.588890350331
1348.32819985,2105.8152617952119,10670.841307233948,3521.2109923559447,10118.293868153924
1550.99271622,2105.5613058448516,10671.655426963027,3520.940555928471,10118.886558726575
1784.11933091,2105.3478034183131,10672.339936617867,3520.7132073500575,10119.384847403453
2052.28674103,2105.1683098182571,10672.915462871475,3520.522079581403,10119.803770568464
2360.76185849,2105.0174072690056,10673.399352014885,3520.3614005830204,10120.155969502704
2715.60325421,2104.8905412217346,10673.806191001131,3520.2263185399297,10120.452071922024
3123.78015078,2104.7838827711234,10674.148245920764,3520.1127550321935,10120.701012728041
3593.30930071,2104.6942130131129,10674.435830936702,3520.0172816684171,10120.91030365921
4133.41243857,2104.6188258409716,10674.677618667516,3519.9370164226166,10121.08625998463
4754.6973994,2104.5554462372147,10674.880901283248,3519.8695365203066,10121.234191085041
5469.36646072,2104.5021615892097,10675.051810120505,3519.8128052266788,10121.358560674806
6291.456,2104.4573639512755,10675.195500392922,3519.7651103146568,10121.463121501529
