,index,score,a,a,a,a,k,k,k,k,n,u,b
,,0,0,1,2,3,0,1,2,3,0,0,0
,,,,,,,,,,,,,
15,391,0.425076729711,1.43798763426,0.457456729904,0.643666124619,0.5933652933,1.04523129523,0.455433690761,0.345477592883,0.254324342587,1.73500001,0.335974319745,0.130577261971
16,455,0.425075766537,1.43794350625,0.485674070148,0.682631847134,0.629025690771,0.943365553234,0.411863048115,0.311979030219,0.229480461797,1.73500001,0.356321283067,0.130589253415
17,327,0.425136535453,1.44019018217,0.378590768749,0.527333490363,0.482897478847,1.47461068487,0.653056567314,0.488319364043,0.353082440429,1.735,0.275347354583,0.13081625848
18,129,0.426255759779,1.427205596,0.487586435012,0.670627948666,0.606462736042,0.942446873744,0.426425924457,0.317164248115,0.219916277181,1.73480076643,0.352771600336,0.129866126249
19,223,0.425283299775,1.44141920841,0.398709804748,0.557089786422,0.520664808568,1.3337412498,0.578798692264,0.430298158141,0.323984478541,1.73500001,0.293038129017,0.130582487337
20,185,0.425520560635,1.42615872267,0.40289577348,0.563109063981,0.511628122569,1.29921223432,0.573734948415,0.430184914042,0.304902504881,1.73500001,0.295285971086,0.129834071959
21,161,0.425482358118,1.44153152469,0.378290521029,0.528348816055,0.497200699496,1.46234961931,0.635731795671,0.471778875759,0.363947561262,1.735,0.277934611213,0.130567099708
22,141,0.425786934247,1.42191107011,0.406611199901,0.577044785,0.53150214713,1.24484002458,0.531377635844,0.405965862716,0.298651289833,1.73500001,0.303487945698,0.129154747342
23,87,0.425442149092,1.4370304536,0.421289760812,0.5826739231,0.541345761674,1.2134081993,0.538198837188,0.397785743654,0.295665464815,1.73484929777,0.306723751386,0.130487496513
24,485,0.425076185255,1.43807538677,0.469648448578,0.660289177917,0.608082754802,0.999923291042,0.436100082164,0.330390843499,0.242799050748,1.735,0.344664749428,0.130581497643
25,87,0.426394831273,1.43330435983,0.404621964115,0.577094922566,0.531014127056,1.26105725214,0.545505543232,0.434548871937,0.322003234142,1.7348178039,0.298322285656,0.130616093216
26,453,0.425076203878,1.43845431377,0.434160328873,0.609077882775,0.561091581156,1.1490039246,0.5027010925,0.379566453488,0.278868557274,1.73500001,0.318080616616,0.13062110902
27,119,0.425524959737,1.43329665424,0.438763099957,0.60672485806,0.562175471613,1.13538906389,0.510717500098,0.379322382937,0.280989577912,1.73431024576,0.317888075903,0.130485829913
28,253,0.425159605164,1.43621129562,0.373159631087,0.528593234345,0.487542025605,1.46953357677,0.634798861163,0.48942469864,0.362380727627,1.735,0.275586522119,0.130405122292
29,305,0.425149501634,1.43850550913,0.440686222449,0.624364423012,0.579643225273,1.10437971828,0.474580821312,0.362684660799,0.271200904168,1.735,0.326073924603,0.130504864992
30,139,0.425550489648,1.44234657999,0.403751480515,0.559338988474,0.518788486841,1.32241223355,0.592266239418,0.44180951084,0.332264854809,1.735,0.291554771093,0.131116481915
31,501,0.425075485931,1.4380896727,0.482781763395,0.678142607541,0.624738800881,0.954036078651,0.41672664187,0.315276183551,0.231717779239,1.73500001,0.354068336726,0.130592760197
32,321,0.425107441236,1.43726409471,0.419208045818,0.592406176716,0.547327727066,1.20658112613,0.521745160015,0.398833064743,0.294954318367,1.735,0.309195427169,0.130455548223
33,387,0.425075816307,1.43809716601,0.482925651495,0.67789133447,0.62478810306,0.954132342506,0.417033472023,0.315091864799,0.231762621667,1.735,0.35404848649,0.130594708864
34,581,0.425082466283,1.43790440747,0.397135695572,0.559684439242,0.515675493112,1.33309233694,0.579556022379,0.440846346726,0.324139454355,1.735,0.292040081959,0.130558740704
35,117,0.426448530125,1.43729861472,0.433843273058,0.597663603672,0.54971573989,1.16605742454,0.524659055121,0.394361872093,0.294581063115,1.73427268062,0.312382436155,0.130730629421
36,277,0.425147205534,1.43531309227,0.416529800038,0.587246990918,0.54258943209,1.22401132437,0.529979942015,0.401819325548,0.29908532233,1.735,0.307033453589,0.130298007381
37,239,0.425325703416,1.43917356796,0.396102485569,0.548408295669,0.499109675417,1.37323451506,0.610442764571,0.45022790967,0.320367971687,1.73500001,0.28748926668,0.130675685211
38,333,0.425079902327,1.43751593803,0.389275770794,0.547893146547,0.505148397604,1.38150028713,0.601958104975,0.457086790814,0.337008690147,1.735,0.285959858951,0.130545029473
