time (min),induction layer,Strain 6059,Strain 6325,Strain 6326,Strain 6327
8570.25,3758.22233405,2759.27954772,8267.26622013,5337.0106482,7352.86648265
8570.5,3758.2223337,2759.2795452,8267.26621927,5337.01063217,7352.86648269
8570.75,3758.22233336,2759.27954274,8267.2662184,5337.01061626,7352.86648274
8571.0,3758.22233302,2759.27954033,8267.26621754,5337.01060046,7352.86648278
8571.25,3758.22233267,2759.27953798,8267.26621668,5337.01058478,7352.86648283
8571.5,3758.22233233,2759.27953568,8267.26621582,5337.01056924,7352.86648287
8571.75,3758.22233198,2759.27953344,8267.26621495,5337.01055384,7352.86648292
8572.0,3758.22233164,2759.27953126,8267.26621409,5337.01053858,7352.86648296
8572.25,3758.22233129,2759.27952913,8267.26621323,5337.01052348,7352.86648301
8572.5,3758.22233095,2759.27952705,8267.26621237,5337.01050854,7352.86648305
8572.75,3758.2223306,2759.27952503,8267.2662115,5337.01049376,7352.8664831
8573.0,3758.22233026,2759.27952307,8267.26621064,5337.01047916,7352.86648314
8573.25,3758.22232992,2759.27952117,8267.26620978,5337.01046473,7352.86648319
8573.5,3758.22232957,2759.27951932,8267.26620892,5337.0104505,7352.86648323
8573.75,3758.22232923,2759.27951753,8267.26620806,5337.01043645,7352.86648328
8574.0,3758.22232888,2759.2795158,8267.26620719,5337.01042261,7352.86648332
8574.25,3758.22232854,2759.27951412,8267.26620633,5337.01040898,7352.86648337
8574.5,3758.22232819,2759.2795125,8267.26620547,5337.01039557,7352.86648341
8574.75,3758.22232785,2759.27951095,8267.26620461,5337.01038238,7352.86648346
8575.0,3758.22232751,2759.27950944,8267.26620374,5337.01036942,7352.8664835
8575.25,3758.22232716,2759.279508,8267.26620288,5337.0103567,7352.86648355
8575.5,3758.22232682,2759.27950662,8267.26620202,5337.01034422,7352.86648359
8575.75,3758.22232647,2759.2795053,8267.26620116,5337.010332,7352.86648364
8576.0,3758.22232613,2759.27950403,8267.26620029,5337.01032004,7352.86648368
8576.25,3758.22232578,2759.27950283,8267.26619943,5337.01030835,7352.86648373
8576.5,3758.22232544,2759.27950168,8267.26619857,5337.01029694,7352.86648377
8576.75,3758.22232509,2759.27950059,8267.26619771,5337.01028581,7352.86648382
8577.0,3758.22232475,2759.27949957,8267.26619685,5337.01027497,7352.86648386
8577.25,3758.22232441,2759.2794986,8267.26619598,5337.01026443,7352.86648391
8577.5,3758.22232406,2759.2794977,8267.26619512,5337.0102542,7352.86648395
8577.75,3758.22232372,2759.27949686,8267.26619426,5337.01024429,7352.866484
8578.0,3758.22232337,2759.27949608,8267.2661934,5337.01023471,7352.86648404
8578.25,3758.22232303,2759.27949536,8267.26619253,5337.01022545,7352.86648409
8578.5,3758.22232268,2759.2794947,8267.26619167,5337.01021654,7352.86648413
8578.75,3758.22232234,2759.2794941,8267.26619081,5337.01020798,7352.86648418
8579.0,3758.22232199,2759.27949357,8267.26618995,5337.01019977,7352.86648423
8579.25,3758.22232165,2759.2794931,8267.26618908,5337.01019193,7352.86648427
8579.5,3758.22232131,2759.27949269,8267.26618822,5337.01018447,7352.86648432
8579.75,3758.22232096,2759.27949234,8267.26618736,5337.01017738,7352.86648436
8580.0,3758.22232062,2759.27949206,8267.2661865,5337.01017069,7352.86648441
8580.25,3758.22232027,2759.27949184,8267.26618564,5337.0101644,7352.86648445
8580.5,3758.22231993,2759.27949169,8267.26618477,5337.01015852,7352.8664845
8580.75,3758.22231958,2759.27949159,8267.26618391,5337.01015306,7352.86648454
8581.0,3758.22231924,2759.27949157,8267.26618305,5337.01014802,7352.86648459
8581.25,3758.22231889,2759.2794916,8267.26618219,5337.01014342,7352.86648463
8581.5,3758.22231855,2759.27949171,8267.26618132,5337.01013926,7352.86648468
8581.75,3758.22231821,2759.27949187,8267.26618046,5337.01013556,7352.86648472
8582.0,3758.22231786,2759.2794921,8267.2661796,5337.01013231,7352.86648477
8582.25,3758.22231752,2759.2794924,8267.26617874,5337.01012954,7352.86648481
8582.5,3758.22231717,2759.27949276,8267.26617787,5337.01012725,7352.86648486
8582.75,3758.22231683,2759.27949319,8267.26617701,5337.01012545,7352.8664849
8583.0,3758.22231648,2759.27949369,8267.26617615,5337.01012415,7352.86648495
8583.25,3758.22231614,2759.27949425,8267.26617529,5337.01012335,7352.86648499
8583.5,3758.2223158,2759.27949488,8267.26617443,5337.01012308,7352.86648504
8583.75,3758.22231545,2759.27949557,8267.26617356,5337.01012333,7352.86648508
8584.0,3758.22231511,2759.27949633,8267.2661727,5337.01012412,7352.86648513
8584.25,3758.22231476,2759.27949716,8267.26617184,5337.01012545,7352.86648517
8584.5,3758.22231442,2759.27949806,8267.26617098,5337.01012734,7352.86648522
8584.75,3758.22231407,2759.27949903,8267.26617011,5337.01012979,7352.86648526
